,start,end,light,deep,rem,awakening,sj_id
94,2019-07-11 23:13:30,2019-07-12 06:57:30,245.0,89.0,66.0,40.0,4
95,2019-07-12 23:05:30,2019-07-13 07:10:30,227.0,89.0,110.0,40.0,4
96,2019-07-13 23:40:30,2019-07-14 08:44:30,244.0,120.0,113.0,47.0,4
97,2019-07-15 00:03:00,2019-07-15 07:58:30,229.0,97.0,82.0,45.0,4
98,2019-07-15 22:29:00,2019-07-16 07:17:00,292.0,46.0,84.0,42.0,4
99,2019-07-16 22:17:00,2019-07-17 07:53:30,284.0,133.0,92.0,46.0,4
100,2019-07-17 23:06:00,2019-07-18 09:37:30,326.0,113.0,85.0,43.0,4
101,2019-07-19 22:27:00,2019-07-20 08:26:30,311.0,78.0,110.0,38.0,4
102,2019-07-20 22:49:30,2019-07-21 09:37:00,389.0,100.0,55.0,43.0,4
103,2019-07-21 23:56:00,2019-07-22 07:30:30,266.0,65.0,67.0,37.0,4
104,2019-07-22 22:28:00,2019-07-23 06:31:30,319.0,44.0,43.0,43.0,4
105,2019-07-23 23:41:00,2019-07-24 07:31:00,,,,,4
106,2019-07-24 21:45:00,2019-07-25 07:54:00,318.0,121.0,72.0,51.0,4
107,2019-07-25 23:09:00,2019-07-26 07:44:00,255.0,109.0,87.0,50.0,4
108,2019-07-27 00:26:30,2019-07-27 08:54:30,295.0,82.0,75.0,42.0,4
109,2019-07-27 23:57:00,2019-07-28 08:45:00,275.0,76.0,105.0,47.0,4
110,2019-07-28 23:24:00,2019-07-29 07:33:30,,,,,4
111,2019-07-29 23:47:00,2019-07-30 06:40:30,233.0,82.0,54.0,38.0,4
112,2019-07-30 22:46:00,2019-07-31 08:01:30,279.0,110.0,87.0,49.0,4
113,2019-08-01 00:04:00,2019-08-01 08:54:30,286.0,75.0,71.0,52.0,4
114,2019-08-02 00:17:30,2019-08-02 08:08:00,251.0,74.0,93.0,38.0,4
115,2019-08-02 16:11:00,2019-08-02 18:03:30,,,,,4
116,2019-08-02 22:22:00,2019-08-03 07:47:30,338.0,52.0,89.0,46.0,4
117,2019-08-03 22:09:00,2019-08-04 09:00:00,349.0,116.0,57.0,50.0,4
118,2019-08-04 23:40:30,2019-08-05 07:31:30,275.0,62.0,69.0,39.0,4
119,2019-08-05 22:48:00,2019-08-06 06:16:00,242.0,60.0,80.0,29.0,4
120,2019-08-06 22:54:30,2019-08-07 08:45:00,305.0,80.0,91.0,37.0,4
121,2019-08-07 22:58:00,2019-08-08 06:42:30,265.0,60.0,77.0,40.0,4
122,2019-08-08 23:15:00,2019-08-09 07:32:30,,,,,4
123,2019-08-09 13:02:30,2019-08-09 14:38:30,,,,,4
124,2019-08-10 05:12:00,2019-08-10 09:41:30,142.0,29.0,63.0,11.0,4
125,2019-08-10 11:39:30,2019-08-10 13:56:30,,,,,4
126,2019-08-10 16:19:30,2019-08-10 18:58:00,,,,,4
127,2019-08-10 23:31:00,2019-08-11 09:14:00,302.0,107.0,116.0,48.0,4
128,2019-08-12 23:05:00,2019-08-13 06:40:00,236.0,67.0,78.0,31.0,4
129,2019-08-13 21:55:00,2019-08-14 06:47:00,271.0,105.0,83.0,31.0,4
130,2019-08-14 23:14:00,2019-08-15 06:50:00,189.0,97.0,100.0,34.0,4
131,2019-08-15 23:28:00,2019-08-16 07:12:30,266.0,93.0,61.0,33.0,4
132,2019-08-16 23:26:30,2019-08-17 09:22:00,353.0,107.0,62.0,42.0,4
133,2019-08-17 23:31:30,2019-08-18 08:26:00,338.0,51.0,45.0,35.0,4
134,2019-08-18 23:12:00,2019-08-19 07:35:30,295.0,74.0,68.0,42.0,4
135,2019-08-19 18:26:30,2019-08-19 20:08:30,,,,,4
136,2019-08-20 00:00:00,2019-08-20 08:18:00,259.0,110.0,68.0,40.0,4
137,2019-08-20 22:27:00,2019-08-21 07:21:30,282.0,96.0,81.0,45.0,4
138,2019-08-21 23:19:00,2019-08-22 09:07:30,271.0,103.0,132.0,42.0,4
139,2019-08-22 22:49:30,2019-08-23 07:10:30,259.0,90.0,80.0,46.0,4
140,2019-08-23 16:10:30,2019-08-23 17:32:30,,,,,4
141,2019-08-23 22:26:00,2019-08-24 07:59:30,269.0,114.0,103.0,34.0,4
142,2019-08-24 23:51:00,2019-08-25 09:01:00,298.0,98.0,76.0,41.0,4
143,2019-08-25 16:59:00,2019-08-25 18:33:30,,,,,4
144,2019-08-25 22:30:00,2019-08-26 08:02:30,290.0,82.0,106.0,46.0,4
145,2019-08-26 23:46:30,2019-08-27 10:16:30,305.0,152.0,105.0,65.0,4
